"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"NICK","Schwippert, Matthew","30-34","55.58","34/9","53.43","8","3"
"1693","Brower, Andrew","30-34","52.99","35/3","53.52","9","2"
"SCYM","Sarier, Karl","25-29","54.00","39/7","53.78","15","0"
"NAM","Callahan, Keeler","30-34","56.03","34/1","53.95","10","1"
"1693","Zerunyan, Marko","18-24","53.62","43/7","54.00","6","5"
"YM","Uszynski, Arthur","25-29","57.00","38/3","54.02","16","0"
"NAM","Greene, Kyle","35-39","55.00","31/3","54.04","5","6"
"NAM","Gutnayer, Daniel","30-34","54.19","34/6","54.07","11","0"
"TOC","Athanas, Aaron","30-34","53.50","35/9","54.09","12","0"
"TOC","Proctor, Grant","30-34","53.20","35/8","54.24","13","0"
"NYAC","Schweitzer, Paul-Marc","30-34","54.00","35/10","54.34","14","0"
"NYAC","Schumacher, Griffin","30-34","54.00","34/5","54.44","15","0"
"ASC","Vogel, Jake","35-39","53.56","31/7","54.53","6","5"
"FLAME","Hemmingsen, RJ","25-29","55.12","39/8","54.64","17","0"
"RICE","Swan, Benjamin","45-49","56.20","24/4","54.76","1","11"
"WISC","Lefeber, Joshua","30-34","51.78","35/7","54.86","16","0"
"AKMS","Petersen, Lucas","40-44","56.21","28/3","54.86","1","11"
"O2","Ferreira, Renato","40-44","54.00","28/6","55.07","2","9"
"RIDG","Ayer, Scott","45-49","54.72","24/5","55.26","2","9"
"NOVA","West, Steve","50-54","56.00","20/5","55.30","1","11"
"NAM","Barnes, Carson","25-29","57.99","38/10","55.38","18","0"
"SDSM","Howard, Jason","18-24","57.27","43/10","55.40","7","4"
"UC43","Kohl, Michael","18-24","53.08","43/4","55.41","8","3"
"NYAC","Godsoe, Eugene","35-39","57.00","31/9","55.46","7","4"
"RMRM","Stumbaugh, Tim","30-34","57.75","33/6","55.46","17","0"
"MINN","Bond, Riley","25-29","55.73","39/1","55.55","19","0"
"LRM","Schildknecht, Calvin","40-44","54.49","28/4","55.55","3","8"
"SCM","Shino, Trent","40-44","55.51","28/7","55.57","4","7"
"O*H*","Chase, Ethan","30-34","57.40","34/10","55.70","18","0"
"NYAC","Hogan, Brian","30-34","55.00","34/7","55.73","19","0"
"AKMS","Stublen, Andrew","25-29","56.75","38/4","55.74","20","0"
"TASCM","Pham, Ethan","25-29","57.57","38/2","55.88","21","0"
"TOC","Hughes, Bryan","30-34","58.57","33/7","55.89","20","0"
"RMRM","Schmidt, Jesse","25-29","58.19","37/5","55.95","22","0"
"LRM","Shefchik, Byron","50-54","56.18","20/6","55.99","2","9"
"AAMAH","Pidgeon, Jack","30-34","57.75","33/5","56.06","21","0"
"URI","Thomas, Ben","18-24","57.00","43/1","56.19","9","2"
"TASCM","Tann, Nicholas","25-29","56.50","38/6","56.29","23","0"
"LSM","Hernandez, Marcus","25-29","57.62","38/9","56.30","24","0"
"UC25","Hirsekorn, Kurt","45-49","54.75","24/6","56.33","3","8"
"SOCK","Murphy, Patrick","30-34","59.69","33/2","56.33","22","0"
"SDMST","Julien, Zachary","25-29","57.50","38/8","56.38","25","0"
"MOST","Reeves, Sean","35-39","56.91","31/2","56.49","8","3"
"UC22","Turney, Avery","25-29","56.00","39/10","56.49","26","0"
"PSCM","Hendrix, Cameron","25-29","58.89","37/7","56.52","27","0"
"MICH","Kristensen, Jens","50-54","56.70","20/4","56.56","3","8"
"FLAME","Fiolic, Steve","25-29","55.23","39/2","56.62","28","0"
"NICK","Le, Michael","25-29","56.86","38/7","56.65","29","0"
"NYAC","Elliot, Oliver","35-39","59.00","31/10","56.67","9","2"
"UC18","Singleton Jr, Eddis","40-44","59.48","27/6","56.68","5","6"
"TXLA","Granet, Thomas","18-24","59.90","42/3","56.72","10","1"
"1693","Ryan, Michael","18-24","58.03","42/6","56.74","11","0"
"SOCK","Feeley, Daniel","30-34","59.99","33/9","56.82","23","0"
"TOC","Greenwood, Scott","45-49","56.58","24/3","56.94","4","7"
"TXLA","Wiggans, Keith","45-49","1:05.16","22/2","56.98","5","6"
"CTS","Kennedy, Kevan","18-24","59.57","42/7","57.01","12","0"
"NAM","Pietrzak, Devin","50-54","59.04","20/9","57.11","4","7"
"ASC","McDowell, Russell","50-54","1:01.69","19/3","57.13","5","6"
"UC40","Otis, Josh","40-44","57.42","28/9","57.15","6","5"
"SOCK","Allen, Jakob","35-39","1:04.00","29/4","57.23","10","1"
"LRM","Markovic, Srdan","40-44","57.00","28/2","57.41","7","4"
"FASWM","Bowen, Rich","40-44","58.10","28/1","57.57","8","3"
"MVN","Travaini, Carlo","60-64","59.59","12/4","57.59","1","11"
"TXLA","McKee, Chris","45-49","59.50","23/6","57.67","6","5"
"WISC","Stich, Darryl","45-49","58.61","24/9","57.68","7","4"
"NAM","Wharton, David","55-59","57.61","16/5","57.79","1","11"
"ASC","Orris, Ron","50-54","58.58","20/8","57.81","6","5"
"1693","Bell, David","45-49","57.98","24/8","57.88","8","3"
"NYAC","Cowley, Christopher","30-34","54.62","34/4","58.00","24","0"
"IM","Tuchler, Jim","60-64","58.50","12/5","58.08","2","9"
"TVM","Conway, Adam","45-49","56.50","24/7","58.11","9","2"
"SWMLB","De Michaelis, Andrew","35-39","1:01.00","30/7","58.22","11","0"
"REDT","Frederick, Aaron","30-34","58.83","33/8","58.31","25","0"
"OREG","Troy, Ryan","30-34","58.60","33/3","58.35","26","0"
"UC37","Ashland, Nicholas","18-24","59.16","42/4","58.40","13","0"
"RMRM","Green, Cameron","30-34","1:03.08","32/8","58.42","27","0"
"NYAC","Smit, Daniel","30-34","55.27","34/8","58.43","28","0"
"UC38","Mueller, Eric","30-34","1:01.56","32/4","58.58","29","0"
"1693","Owen, Michael","18-24","1:00.53","42/8","58.60","14","0"
"UC08","Clark, Grant","45-49","59.59","23/4","58.62","10","1"
"URI","Sweeney, Conor","18-24","1:02.36","41/6","58.74","15","0"
